
============= MEMWATCH 2.71 Copyright (C) 1992-1999 Johan Lindh =============

Started at Sat Nov 21 18:37:50 2015

Modes: __STDC__ 64-bit mwDWORD==(unsigned int)
mwROUNDALLOC==8 sizeof(mwData)==56 mwDataSize==56

NULL free: <2> procnanny.server.c(445), NULL pointer free'd
NULL free: <4> procnanny.server.c(167), NULL pointer free'd
NULL free: <5> procnanny.server.c(167), NULL pointer free'd
NULL free: <6> procnanny.server.c(167), NULL pointer free'd
NULL free: <7> procnanny.server.c(167), NULL pointer free'd
NULL free: <8> procnanny.server.c(167), NULL pointer free'd
NULL free: <9> procnanny.server.c(167), NULL pointer free'd
NULL free: <10> procnanny.server.c(167), NULL pointer free'd
NULL free: <11> procnanny.server.c(167), NULL pointer free'd
NULL free: <12> procnanny.server.c(167), NULL pointer free'd
NULL free: <13> procnanny.server.c(167), NULL pointer free'd
NULL free: <14> procnanny.server.c(167), NULL pointer free'd
NULL free: <15> procnanny.server.c(167), NULL pointer free'd
NULL free: <16> procnanny.server.c(167), NULL pointer free'd
NULL free: <17> procnanny.server.c(167), NULL pointer free'd
NULL free: <18> procnanny.server.c(167), NULL pointer free'd
NULL free: <19> procnanny.server.c(167), NULL pointer free'd
NULL free: <20> procnanny.server.c(167), NULL pointer free'd
NULL free: <21> procnanny.server.c(167), NULL pointer free'd
NULL free: <22> procnanny.server.c(167), NULL pointer free'd
NULL free: <23> procnanny.server.c(167), NULL pointer free'd
NULL free: <24> procnanny.server.c(167), NULL pointer free'd
NULL free: <25> procnanny.server.c(167), NULL pointer free'd
NULL free: <26> procnanny.server.c(167), NULL pointer free'd
NULL free: <27> procnanny.server.c(167), NULL pointer free'd
NULL free: <28> procnanny.server.c(167), NULL pointer free'd
NULL free: <29> procnanny.server.c(167), NULL pointer free'd
NULL free: <30> procnanny.server.c(167), NULL pointer free'd
NULL free: <31> procnanny.server.c(167), NULL pointer free'd
NULL free: <32> procnanny.server.c(167), NULL pointer free'd
NULL free: <33> procnanny.server.c(167), NULL pointer free'd
NULL free: <34> procnanny.server.c(167), NULL pointer free'd
NULL free: <35> procnanny.server.c(167), NULL pointer free'd
NULL free: <36> procnanny.server.c(167), NULL pointer free'd
NULL free: <37> procnanny.server.c(167), NULL pointer free'd
NULL free: <38> procnanny.server.c(167), NULL pointer free'd
NULL free: <39> procnanny.server.c(167), NULL pointer free'd
NULL free: <40> procnanny.server.c(167), NULL pointer free'd
NULL free: <41> procnanny.server.c(167), NULL pointer free'd
NULL free: <42> procnanny.server.c(167), NULL pointer free'd
NULL free: <43> procnanny.server.c(167), NULL pointer free'd
NULL free: <44> procnanny.server.c(167), NULL pointer free'd
NULL free: <45> procnanny.server.c(167), NULL pointer free'd
NULL free: <46> procnanny.server.c(167), NULL pointer free'd
NULL free: <47> procnanny.server.c(167), NULL pointer free'd
NULL free: <48> procnanny.server.c(167), NULL pointer free'd
NULL free: <49> procnanny.server.c(167), NULL pointer free'd
NULL free: <50> procnanny.server.c(167), NULL pointer free'd
NULL free: <51> procnanny.server.c(167), NULL pointer free'd
NULL free: <52> procnanny.server.c(167), NULL pointer free'd
NULL free: <53> procnanny.server.c(167), NULL pointer free'd
NULL free: <54> procnanny.server.c(167), NULL pointer free'd
NULL free: <55> procnanny.server.c(167), NULL pointer free'd
NULL free: <56> procnanny.server.c(167), NULL pointer free'd
NULL free: <57> procnanny.server.c(167), NULL pointer free'd
NULL free: <58> procnanny.server.c(167), NULL pointer free'd
NULL free: <59> procnanny.server.c(167), NULL pointer free'd
NULL free: <60> procnanny.server.c(167), NULL pointer free'd
NULL free: <61> procnanny.server.c(167), NULL pointer free'd
